date,event,common_name,genus,species,county,lifeform,group,dataset_num,invasive
6/13/05,FLOWERING,ALSIKE CLOVER,TRIFOLIUM,HYBRIDUM,ITASCA,PLANTS,FORB,1,
6/15/93,FLOWERING,ALSIKE CLOVER,TRIFOLIUM,HYBRIDUM,ITASCA,PLANTS,FORB,1,
5/29/91,FLOWERING,ALSIKE CLOVER,TRIFOLIUM,HYBRIDUM,ITASCA,PLANTS,FORB,1,
6/9/90,FLOWERING,ALSIKE CLOVER,TRIFOLIUM,HYBRIDUM,ITASCA,PLANTS,FORB,1,
6/1/88,FLOWERING,ALSIKE CLOVER,TRIFOLIUM,HYBRIDUM,ITASCA,PLANTS,FORB,1,
6/28/04,FULL FLOWERING (GROUP),AMERICAN BITTERSWEET,CELASTRUS,SCANDENS,ITASCA,PLANTS,WOODY,1,
7/31/15,FIRST FLOCK OF MIGRATORS,AMERICAN CROW,CORVUS,BRACHYRHYNCHOS,ITASCA,ANIMALS,BIRDS,1,
8/8/12,FIRST FLOCK OF MIGRATORS,AMERICAN CROW,CORVUS,BRACHYRHYNCHOS,ITASCA,ANIMALS,BIRDS,1,
7/27/11,FIRST FLOCK OF MIGRATORS,AMERICAN CROW,CORVUS,BRACHYRHYNCHOS,ITASCA,ANIMALS,BIRDS,1,
8/6/10,FIRST FLOCK OF MIGRATORS,AMERICAN CROW,CORVUS,BRACHYRHYNCHOS,ITASCA,ANIMALS,BIRDS,1,
7/15/09,FIRST FLOCK OF MIGRATORS,AMERICAN CROW,CORVUS,BRACHYRHYNCHOS,ITASCA,ANIMALS,BIRDS,1,
7/28/08,FIRST FLOCK OF MIGRATORS,AMERICAN CROW,CORVUS,BRACHYRHYNCHOS,ITASCA,ANIMALS,BIRDS,1,
7/7/06,FIRST FLOCK OF MIGRATORS,AMERICAN CROW,CORVUS,BRACHYRHYNCHOS,ITASCA,ANIMALS,BIRDS,1,
8/10/04,FIRST FLOCK OF MIGRATORS,AMERICAN CROW,CORVUS,BRACHYRHYNCHOS,ITASCA,ANIMALS,BIRDS,1,
5/11/11,FLOWERING,AMERICAN DOG VIOLET,VIOLA,CONSPERSA,ITASCA,PLANTS,FORB,1,
5/21/09,FLOWERING,AMERICAN DOG VIOLET,VIOLA,CONSPERSA,ITASCA,PLANTS,FORB,1,
4/30/16,LAST FLOWERS,AMERICAN ELM,ULMUS,AMERICANA,ITASCA,PLANTS,WOODY,1,
4/16/15,FLOWER BUDS SWELLING,AMERICAN ELM,ULMUS,AMERICANA,ITASCA,PLANTS,WOODY,1,
4/15/15,FULL FLOWERING (GROUP),AMERICAN ELM,ULMUS,AMERICANA,ITASCA,PLANTS,WOODY,1,
4/14/15,FULL FLOWERING (GROUP),AMERICAN ELM,ULMUS,AMERICANA,ITASCA,PLANTS,WOODY,1,
5/18/13,LAST FLOWERS,AMERICAN ELM,ULMUS,AMERICANA,ITASCA,PLANTS,WOODY,1,
4/30/13,FLOWER BUDS SWELLING,AMERICAN ELM,ULMUS,AMERICANA,ITASCA,PLANTS,WOODY,1,
3/24/12,FULL FLOWERING (GROUP),AMERICAN ELM,ULMUS,AMERICANA,ITASCA,PLANTS,WOODY,1,
3/21/12,FLOWERING,AMERICAN ELM,ULMUS,AMERICANA,ITASCA,PLANTS,WOODY,1,
4/5/10,FULL FLOWERING (GROUP),AMERICAN ELM,ULMUS,AMERICANA,ITASCA,PLANTS,WOODY,1,
4/3/10,FLOWERING,AMERICAN ELM,ULMUS,AMERICANA,ITASCA,PLANTS,WOODY,1,
4/22/09,FLOWERING,AMERICAN ELM,ULMUS,AMERICANA,ITASCA,PLANTS,WOODY,1,
4/24/08,FLOWERING,AMERICAN ELM,ULMUS,AMERICANA,ITASCA,PLANTS,WOODY,1,
4/9/06,FLOWER BUDS SWELLING,AMERICAN ELM,ULMUS,AMERICANA,ITASCA,PLANTS,WOODY,1,
4/14/05,FULL FLOWERING (GROUP),AMERICAN ELM,ULMUS,AMERICANA,ITASCA,PLANTS,WOODY,1,
4/9/05,FLOWERING,AMERICAN ELM,ULMUS,AMERICANA,ITASCA,PLANTS,WOODY,1,
4/24/04,FLOWERING,AMERICAN ELM,ULMUS,AMERICANA,ITASCA,PLANTS,WOODY,1,
5/5/03,LAST FLOWERS,AMERICAN ELM,ULMUS,AMERICANA,ITASCA,PLANTS,WOODY,1,
4/27/00,FULL FLOWERING (GROUP),AMERICAN ELM,ULMUS,AMERICANA,ITASCA,PLANTS,WOODY,1,
4/21/94,FLOWERING,AMERICAN ELM,ULMUS,AMERICANA,ITASCA,PLANTS,WOODY,1,
7/14/04,FLOWERING,AMERICAN FIGWORT,SCROPHULARIA,LANCEOLATA,ITASCA,PLANTS,FORB,1,
11/20/16,FIRST FLOCK OF MIGRATORS,AMERICAN GOLDFINCH,CARDUELIS,TRISTIS,ITASCA,ANIMALS,BIRDS,1,
4/16/16,FLOWERING,AMERICAN HAZELNUT,CORYLUS,AMERICANA,ITASCA,PLANTS,WOODY,1,
4/8/16,FIRST POLLEN VISIBLE,AMERICAN HAZELNUT,CORYLUS,AMERICANA,ITASCA,PLANTS,WOODY,1,
3/29/16,FIRST POLLEN VISIBLE,AMERICAN HAZELNUT,CORYLUS,AMERICANA,ITASCA,PLANTS,WOODY,1,
4/15/15,FIRST POLLEN VISIBLE,AMERICAN HAZELNUT,CORYLUS,AMERICANA,ITASCA,PLANTS,WOODY,1,
4/3/15,FIRST POLLEN VISIBLE,AMERICAN HAZELNUT,CORYLUS,AMERICANA,ITASCA,PLANTS,WOODY,1,
4/30/13,FULL FLOWERING (GROUP),AMERICAN HAZELNUT,CORYLUS,AMERICANA,ITASCA,PLANTS,WOODY,1,
4/28/13,FIRST POLLEN VISIBLE,AMERICAN HAZELNUT,CORYLUS,AMERICANA,ITASCA,PLANTS,WOODY,1,
3/18/12,FIRST POLLEN VISIBLE,AMERICAN HAZELNUT,CORYLUS,AMERICANA,ITASCA,PLANTS,WOODY,1,
4/14/11,FIRST POLLEN VISIBLE,AMERICAN HAZELNUT,CORYLUS,AMERICANA,ITASCA,PLANTS,WOODY,1,
4/10/11,FIRST POLLEN VISIBLE,AMERICAN HAZELNUT,CORYLUS,AMERICANA,ITASCA,PLANTS,WOODY,1,
4/7/11,FULL FLOWERING (GROUP),AMERICAN HAZELNUT,CORYLUS,AMERICANA,ITASCA,PLANTS,WOODY,1,
3/24/10,FIRST POLLEN VISIBLE,AMERICAN HAZELNUT,CORYLUS,AMERICANA,ITASCA,PLANTS,WOODY,1,
4/17/09,FULL FLOWERING (GROUP),AMERICAN HAZELNUT,CORYLUS,AMERICANA,ITASCA,PLANTS,WOODY,1,
4/16/09,FIRST POLLEN VISIBLE,AMERICAN HAZELNUT,CORYLUS,AMERICANA,ITASCA,PLANTS,WOODY,1,
4/15/09,FIRST POLLEN VISIBLE,AMERICAN HAZELNUT,CORYLUS,AMERICANA,ITASCA,PLANTS,WOODY,1,
4/21/08,FIRST POLLEN VISIBLE,AMERICAN HAZELNUT,CORYLUS,AMERICANA,ITASCA,PLANTS,WOODY,1,
4/9/06,FIRST POLLEN VISIBLE,AMERICAN HAZELNUT,CORYLUS,AMERICANA,ITASCA,PLANTS,WOODY,1,
4/19/04,FIRST POLLEN VISIBLE,AMERICAN HAZELNUT,CORYLUS,AMERICANA,ITASCA,PLANTS,WOODY,1,
4/15/04,FLOWERING,AMERICAN HAZELNUT,CORYLUS,AMERICANA,ITASCA,PLANTS,WOODY,1,
4/13/84,FIRST POLLEN VISIBLE,AMERICAN HAZELNUT,CORYLUS,AMERICANA,ITASCA,PLANTS,WOODY,1,
7/25/11,FLOWERING,AMERICAN MARSH WILLOW HERB,EPILOBIUM,LEPTOPHYLLUM,ITASCA,PLANTS,FORB,1,
8/17/09,FLOWERING,AMERICAN MARSH WILLOW HERB,EPILOBIUM,LEPTOPHYLLUM,ITASCA,PLANTS,FORB,1,
6/2/03,FLOWERING,AMERICAN MOUNTAIN ASH,SORBUS,AMERICANA,ITASCA,PLANTS,WOODY,1,
6/5/02,FLOWERING,AMERICAN MOUNTAIN ASH,SORBUS,AMERICANA,ITASCA,PLANTS,WOODY,1,
5/29/01,FLOWERING,AMERICAN MOUNTAIN ASH,SORBUS,AMERICANA,ITASCA,PLANTS,WOODY,1,
6/6/00,FULL FLOWERING (GROUP),AMERICAN MOUNTAIN ASH,SORBUS,AMERICANA,ITASCA,PLANTS,WOODY,1,
5/10/15,FULL FLOWERING (GROUP),AMERICAN PLUM,PRUNUS,AMERICANA,ITASCA,PLANTS,WOODY,1,
5/8/15,FULL FLOWERING (GROUP),AMERICAN PLUM,PRUNUS,AMERICANA,ITASCA,PLANTS,WOODY,1,
5/6/15,FLOWERING,AMERICAN PLUM,PRUNUS,AMERICANA,ITASCA,PLANTS,WOODY,1,
5/3/15,FLOWERING,AMERICAN PLUM,PRUNUS,AMERICANA,ITASCA,PLANTS,WOODY,1,
5/8/07,FLOWERING,AMERICAN PLUM,PRUNUS,AMERICANA,ITASCA,PLANTS,WOODY,1,
4/26/05,FLOWERING,AMERICAN PLUM,PRUNUS,AMERICANA,ITASCA,PLANTS,WOODY,1,
5/11/03,FULL FLOWERING (GROUP),AMERICAN PLUM,PRUNUS,AMERICANA,ITASCA,PLANTS,WOODY,1,
5/10/01,FLOWERING,AMERICAN PLUM,PRUNUS,AMERICANA,ITASCA,PLANTS,WOODY,1,
8/24/12,FIRST FLOCK OF MIGRATORS,AMERICAN ROBIN,TURDUS,MIGRATORIUS,ITASCA,ANIMALS,BIRDS,1,
9/1/09,FIRST FLOCK OF MIGRATORS,AMERICAN ROBIN,TURDUS,MIGRATORIUS,ITASCA,ANIMALS,BIRDS,1,
8/10/09,FIRST FLOCK OF MIGRATORS,AMERICAN ROBIN,TURDUS,MIGRATORIUS,ITASCA,ANIMALS,BIRDS,1,
8/8/94,FIRST FLOCK OF MIGRATORS,AMERICAN ROBIN,TURDUS,MIGRATORIUS,ITASCA,ANIMALS,BIRDS,1,
5/3/04,POLLEN,AMERICAN TAMARACK,LARIX,LARICINA,ITASCA,PLANTS,WOODY,1,
6/11/05,FLOWERING,ARENARIA LATERIFLORA,ARENARIA,LATERIFLORA,ITASCA,PLANTS,FORB,1,
7/12/01,FLOWER BUDS SWELLING,ARROW LEAVED ASTER,ASTER,SAGITTIFOLIUS,ITASCA,PLANTS,FORB,1,
9/1/99,FULL FLOWERING (GROUP),ARROW LEAVED ASTER,ASTER,SAGITTIFOLIUS,ITASCA,PLANTS,FORB,1,
8/8/12,FULL FLOWERING (GROUP),ARROW LEAVED TEARTHUMB,POLYGONUM,SAGITTATUM,ITASCA,PLANTS,FORB,1,
6/6/00,FLOWERING,ARROWHEAD SWEET COLTSFOOT,PETASITES,SAGITTATUS,ITASCA,PLANTS,FORB,1,
6/19/13,FLOWERING,ARROWWOOD,VIBURNUM,DENTATUM,ITASCA,PLANTS,WOODY,1,
5/31/12,FLOWERING,ARROWWOOD,VIBURNUM,DENTATUM,ITASCA,PLANTS,WOODY,1,
5/29/12,FLOWER BUDS SWELLING,ARROWWOOD,VIBURNUM,DENTATUM,ITASCA,PLANTS,WOODY,1,
6/5/07,FLOWERING,ARROWWOOD,VIBURNUM,DENTATUM,ITASCA,PLANTS,WOODY,1,
6/16/03,FLOWERING,ARROWWOOD,VIBURNUM,DENTATUM,ITASCA,PLANTS,WOODY,1,
7/11/15,FLOWERING,ASTER   ,ASTER,SP,ITASCA,PLANTS,FORB,1,
10/15/10,LAST FLOWERS,ASTER   ,ASTER,SP,ITASCA,PLANTS,FORB,1,
8/17/09,FLOWERING,ASTER   ,ASTER,SP,ITASCA,PLANTS,FORB,1,
7/27/09,FLOWERING,ASTER   ,ASTER,SP,ITASCA,PLANTS,FORB,1,
7/11/06,FLOWERING,ASTER   ,ASTER,SP,ITASCA,PLANTS,FORB,1,
11/15/03,LAST FLOWERS,ASTER   ,ASTER,SP,ITASCA,PLANTS,FORB,1,
10/10/02,LAST FLOWERS,ASTER   ,ASTER,SP,ITASCA,PLANTS,FORB,1,
10/18/94,LAST FLOWERS,ASTER   ,ASTER,SP,ITASCA,PLANTS,FORB,1,
9/30/94,FULL FLOWERING (GROUP),ASTER   ,ASTER,SP,ITASCA,PLANTS,FORB,1,
4/20/15,FLOWERING,AUTUMN WILLOW,SALIX,SERISSIMA,ITASCA,PLANTS,WOODY,1,
10/30/13,FLOWERING,AUTUMN WILLOW,SALIX,SERISSIMA,ITASCA,PLANTS,WOODY,1,
10/28/12,LAST FLOWERS,AUTUMN WILLOW,SALIX,SERISSIMA,ITASCA,PLANTS,WOODY,1,
9/27/12,FLOWERING,AUTUMN WILLOW,SALIX,SERISSIMA,ITASCA,PLANTS,WOODY,1,
10/18/10,FLOWERING,AUTUMN WILLOW,SALIX,SERISSIMA,ITASCA,PLANTS,WOODY,1,
10/31/09,FLOWERING,AUTUMN WILLOW,SALIX,SERISSIMA,ITASCA,PLANTS,WOODY,1,
5/22/16,LAST FLOWERS,BALSAM POPLAR,POPULUS,BALSAMIFERA,ITASCA,PLANTS,WOODY,1,
5/5/16,LAST FLOWERS,BALSAM POPLAR,POPULUS,BALSAMIFERA,ITASCA,PLANTS,WOODY,1,
4/24/16,FLOWERING,BALSAM POPLAR,POPULUS,BALSAMIFERA,ITASCA,PLANTS,WOODY,1,
4/19/16,FLOWERING,BALSAM POPLAR,POPULUS,BALSAMIFERA,ITASCA,PLANTS,WOODY,1,
4/25/15,FLOWERING,BALSAM POPLAR,POPULUS,BALSAMIFERA,ITASCA,PLANTS,WOODY,1,
6/20/11,LAST FLOWERS,BALSAM POPLAR,POPULUS,BALSAMIFERA,ITASCA,PLANTS,WOODY,1,
5/7/11,FLOWERING,BALSAM POPLAR,POPULUS,BALSAMIFERA,ITASCA,PLANTS,WOODY,1,
4/13/10,FLOWERING,BALSAM POPLAR,POPULUS,BALSAMIFERA,ITASCA,PLANTS,WOODY,1,
4/28/09,FLOWERING,BALSAM POPLAR,POPULUS,BALSAMIFERA,ITASCA,PLANTS,WOODY,1,
6/27/13,FLOWERING,BALSAM RAGWORT (NORTHERN),SENECIO,PAUPERCULUS,ITASCA,PLANTS,FORB,1,
6/7/12,FLOWERING,BALSAM RAGWORT (NORTHERN),SENECIO,PAUPERCULUS,ITASCA,PLANTS,FORB,1,
6/20/09,FLOWERING,BALSAM RAGWORT (NORTHERN),SENECIO,PAUPERCULUS,ITASCA,PLANTS,FORB,1,
6/17/07,FLOWERING,BALSAM RAGWORT (NORTHERN),SENECIO,PAUPERCULUS,ITASCA,PLANTS,FORB,1,
6/16/05,FLOWERING,BALSAM RAGWORT (NORTHERN),SENECIO,PAUPERCULUS,ITASCA,PLANTS,FORB,1,
6/1/15,LAST FLOWERS,BALSAM WILLOW,SALIX,PYRIFOLIA,ITASCA,PLANTS,WOODY,1,
6/10/13,LAST FLOWERS,BALSAM WILLOW,SALIX,PYRIFOLIA,ITASCA,PLANTS,WOODY,1,
5/31/13,FLOWERING,BALSAM WILLOW,SALIX,PYRIFOLIA,ITASCA,PLANTS,WOODY,1,
7/16/16,LAST FLOWERS,BASSWOOD,TILIA,AMERICANA,ITASCA,PLANTS,WOODY,1,
7/3/16,FLOWERING,BASSWOOD,TILIA,AMERICANA,ITASCA,PLANTS,WOODY,1,
7/1/16,FLOWER BUDS SWELLING,BASSWOOD,TILIA,AMERICANA,ITASCA,PLANTS,WOODY,1,
7/11/15,FULL FLOWERING (GROUP),BASSWOOD,TILIA,AMERICANA,ITASCA,PLANTS,WOODY,1,
7/17/13,FULL FLOWERING (GROUP),BASSWOOD,TILIA,AMERICANA,ITASCA,PLANTS,WOODY,1,
7/16/13,FLOWERING,BASSWOOD,TILIA,AMERICANA,ITASCA,PLANTS,WOODY,1,
6/20/13,FLOWER BUDS SWELLING,BASSWOOD,TILIA,AMERICANA,ITASCA,PLANTS,WOODY,1,
7/16/12,LAST FLOWERS,BASSWOOD,TILIA,AMERICANA,ITASCA,PLANTS,WOODY,1,
7/10/12,FLOWERING,BASSWOOD,TILIA,AMERICANA,ITASCA,PLANTS,WOODY,1,
6/30/12,FLOWER BUDS SWELLING,BASSWOOD,TILIA,AMERICANA,ITASCA,PLANTS,WOODY,1,
6/13/12,FLOWER BUDS SWELLING,BASSWOOD,TILIA,AMERICANA,ITASCA,PLANTS,WOODY,1,
7/25/11,LAST FLOWERS,BASSWOOD,TILIA,AMERICANA,ITASCA,PLANTS,WOODY,1,
7/14/11,FLOWERING,BASSWOOD,TILIA,AMERICANA,ITASCA,PLANTS,WOODY,1,
6/27/11,FLOWER BUDS SWELLING,BASSWOOD,TILIA,AMERICANA,ITASCA,PLANTS,WOODY,1,
7/12/10,LAST FLOWERS,BASSWOOD,TILIA,AMERICANA,ITASCA,PLANTS,WOODY,1,
8/12/09,LAST FLOWERS,BASSWOOD,TILIA,AMERICANA,ITASCA,PLANTS,WOODY,1,
7/20/09,FLOWERING,BASSWOOD,TILIA,AMERICANA,ITASCA,PLANTS,WOODY,1,
6/19/09,FLOWER BUDS SWELLING,BASSWOOD,TILIA,AMERICANA,ITASCA,PLANTS,WOODY,1,
7/23/08,FLOWERING,BASSWOOD,TILIA,AMERICANA,ITASCA,PLANTS,WOODY,1,
7/9/07,FULL FLOWERING (GROUP),BASSWOOD,TILIA,AMERICANA,ITASCA,PLANTS,WOODY,1,
7/2/07,FLOWERING,BASSWOOD,TILIA,AMERICANA,ITASCA,PLANTS,WOODY,1,
6/28/07,FLOWER BUDS SWELLING,BASSWOOD,TILIA,AMERICANA,ITASCA,PLANTS,WOODY,1,
7/3/06,FLOWERING,BASSWOOD,TILIA,AMERICANA,ITASCA,PLANTS,WOODY,1,
6/27/06,FLOWER BUDS SWELLING,BASSWOOD,TILIA,AMERICANA,ITASCA,PLANTS,WOODY,1,
7/9/05,FLOWERING,BASSWOOD,TILIA,AMERICANA,ITASCA,PLANTS,WOODY,1,
8/9/04,LAST FLOWERS,BASSWOOD,TILIA,AMERICANA,ITASCA,PLANTS,WOODY,1,
7/28/04,FULL FLOWERING (GROUP),BASSWOOD,TILIA,AMERICANA,ITASCA,PLANTS,WOODY,1,
7/1/04,FLOWERING,BASSWOOD,TILIA,AMERICANA,ITASCA,PLANTS,WOODY,1,
7/10/03,FLOWERING,BASSWOOD,TILIA,AMERICANA,ITASCA,PLANTS,WOODY,1,
6/20/03,FLOWER BUDS SWELLING,BASSWOOD,TILIA,AMERICANA,ITASCA,PLANTS,WOODY,1,
7/8/02,FLOWER BUDS SWELLING,BASSWOOD,TILIA,AMERICANA,ITASCA,PLANTS,WOODY,1,
7/2/02,FLOWER BUDS SWELLING,BASSWOOD,TILIA,AMERICANA,ITASCA,PLANTS,WOODY,1,
7/16/01,FLOWERING,BASSWOOD,TILIA,AMERICANA,ITASCA,PLANTS,WOODY,1,
7/24/00,FULL FLOWERING (GROUP),BASSWOOD,TILIA,AMERICANA,ITASCA,PLANTS,WOODY,1,
7/26/94,LAST FLOWERS,BASSWOOD,TILIA,AMERICANA,ITASCA,PLANTS,WOODY,1,
6/14/94,FLOWER BUDS SWELLING,BASSWOOD,TILIA,AMERICANA,ITASCA,PLANTS,WOODY,1,
7/13/93,FLOWERING,BASSWOOD,TILIA,AMERICANA,ITASCA,PLANTS,WOODY,1,
7/9/93,FLOWERING,BASSWOOD,TILIA,AMERICANA,ITASCA,PLANTS,WOODY,1,
7/8/92,FLOWERING,BASSWOOD,TILIA,AMERICANA,ITASCA,PLANTS,WOODY,1,
7/10/91,FLOWERING,BASSWOOD,TILIA,AMERICANA,ITASCA,PLANTS,WOODY,1,
6/6/91,FLOWER BUDS SWELLING,BASSWOOD,TILIA,AMERICANA,ITASCA,PLANTS,WOODY,1,
6/9/15,FLOWERING,BASTARD TOADFLAX,COMANDRA,UMBELLATA,ITASCA,PLANTS,FORB,1,
6/12/13,FLOWERING,BASTARD TOADFLAX,COMANDRA,UMBELLATA,ITASCA,PLANTS,FORB,1,
5/25/12,FLOWERING,BASTARD TOADFLAX,COMANDRA,UMBELLATA,ITASCA,PLANTS,FORB,1,
5/21/11,FLOWERING,BASTARD TOADFLAX,COMANDRA,UMBELLATA,ITASCA,PLANTS,FORB,1,
5/20/10,FLOWERING,BASTARD TOADFLAX,COMANDRA,UMBELLATA,ITASCA,PLANTS,FORB,1,
6/5/09,FLOWERING,BASTARD TOADFLAX,COMANDRA,UMBELLATA,ITASCA,PLANTS,FORB,1,
6/3/08,FLOWERING,BASTARD TOADFLAX,COMANDRA,UMBELLATA,ITASCA,PLANTS,FORB,1,
5/22/07,FLOWER BUDS SWELLING,BASTARD TOADFLAX,COMANDRA,UMBELLATA,ITASCA,PLANTS,FORB,1,
5/8/06,FLOWER BUDS SWELLING,BASTARD TOADFLAX,COMANDRA,UMBELLATA,ITASCA,PLANTS,FORB,1,
5/25/05,FLOWERING,BASTARD TOADFLAX,COMANDRA,UMBELLATA,ITASCA,PLANTS,FORB,1,
6/8/04,FULL FLOWERING (GROUP),BASTARD TOADFLAX,COMANDRA,UMBELLATA,ITASCA,PLANTS,FORB,1,
5/25/04,FLOWERING,BASTARD TOADFLAX,COMANDRA,UMBELLATA,ITASCA,PLANTS,FORB,1,
5/30/02,FLOWERING,BASTARD TOADFLAX,COMANDRA,UMBELLATA,ITASCA,PLANTS,FORB,1,
7/13/94,FLOWERING,BASTARD TOADFLAX,COMANDRA,UMBELLATA,ITASCA,PLANTS,FORB,1,
3/29/16,FIRST POLLEN VISIBLE,BEAKED HAZELNUT,CORYLUS,CORNUTA,ITASCA,PLANTS,WOODY,1,
4/15/15,FIRST POLLEN VISIBLE,BEAKED HAZELNUT,CORYLUS,CORNUTA,ITASCA,PLANTS,WOODY,1,
4/7/15,FLOWERING,BEAKED HAZELNUT,CORYLUS,CORNUTA,ITASCA,PLANTS,WOODY,1,
4/30/13,FULL FLOWERING (GROUP),BEAKED HAZELNUT,CORYLUS,CORNUTA,ITASCA,PLANTS,WOODY,1,
4/30/13,FULL FLOWERING (GROUP),BEAKED HAZELNUT,CORYLUS,CORNUTA,ITASCA,PLANTS,WOODY,1,
4/29/13,FIRST POLLEN VISIBLE,BEAKED HAZELNUT,CORYLUS,CORNUTA,ITASCA,PLANTS,WOODY,1,
3/19/12,FIRST POLLEN VISIBLE,BEAKED HAZELNUT,CORYLUS,CORNUTA,ITASCA,PLANTS,WOODY,1,
4/10/11,FIRST POLLEN VISIBLE,BEAKED HAZELNUT,CORYLUS,CORNUTA,ITASCA,PLANTS,WOODY,1,
3/28/10,FIRST POLLEN VISIBLE,BEAKED HAZELNUT,CORYLUS,CORNUTA,ITASCA,PLANTS,WOODY,1,
4/17/09,FULL FLOWERING (GROUP),BEAKED HAZELNUT,CORYLUS,CORNUTA,ITASCA,PLANTS,WOODY,1,
4/16/09,FIRST POLLEN VISIBLE,BEAKED HAZELNUT,CORYLUS,CORNUTA,ITASCA,PLANTS,WOODY,1,
4/15/09,FIRST POLLEN VISIBLE,BEAKED HAZELNUT,CORYLUS,CORNUTA,ITASCA,PLANTS,WOODY,1,
4/20/08,FIRST POLLEN VISIBLE,BEAKED HAZELNUT,CORYLUS,CORNUTA,ITASCA,PLANTS,WOODY,1,
4/17/07,FULL FLOWERING (GROUP),BEAKED HAZELNUT,CORYLUS,CORNUTA,ITASCA,PLANTS,WOODY,1,
4/7/07,FIRST POLLEN VISIBLE,BEAKED HAZELNUT,CORYLUS,CORNUTA,ITASCA,PLANTS,WOODY,1,
3/29/07,FIRST POLLEN VISIBLE,BEAKED HAZELNUT,CORYLUS,CORNUTA,ITASCA,PLANTS,WOODY,1,
3/28/07,FULL FLOWERING (GROUP),BEAKED HAZELNUT,CORYLUS,CORNUTA,ITASCA,PLANTS,WOODY,1,
4/9/06,FIRST POLLEN VISIBLE,BEAKED HAZELNUT,CORYLUS,CORNUTA,ITASCA,PLANTS,WOODY,1,
4/8/06,FIRST POLLEN VISIBLE,BEAKED HAZELNUT,CORYLUS,CORNUTA,ITASCA,PLANTS,WOODY,1,
4/10/05,FIRST POLLEN VISIBLE,BEAKED HAZELNUT,CORYLUS,CORNUTA,ITASCA,PLANTS,WOODY,1,
4/7/05,FIRST POLLEN VISIBLE,BEAKED HAZELNUT,CORYLUS,CORNUTA,ITASCA,PLANTS,WOODY,1,
4/11/04,FIRST POLLEN VISIBLE,BEAKED HAZELNUT,CORYLUS,CORNUTA,ITASCA,PLANTS,WOODY,1,
